                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.54824,                0.55596,                0.89187,                0.81477,                0.98763,                0.84591,                0.76474,                 0.4624,                0.40281,                 0.8528,              0.0089605,              0.0089605,              0.0089605
                    107,                0.55096,                0.54783,                0.89129,                 0.8167,                0.99324,                0.85294,                0.77558,                0.46398,                0.41067,                0.85357,              0.0089506,              0.0089506,              0.0089506
                    108,                0.54439,                 0.5515,                 0.8881,                0.81939,                0.98722,                0.86552,                0.79226,                0.45219,                0.40478,                0.84997,              0.0089407,              0.0089407,              0.0089407
                    109,                0.55886,                0.54943,                0.89564,                0.81827,                0.98722,                0.85761,                0.78077,                0.45574,                0.40433,                0.85027,              0.0089308,              0.0089308,              0.0089308
                    110,                0.53591,                0.55358,                0.88795,                0.81716,                0.98992,                0.86034,                0.78581,                0.45254,                0.40474,                0.84885,              0.0089209,              0.0089209,              0.0089209
                    111,                0.55226,                0.55754,                0.89634,                0.82083,                0.98895,                0.83728,                0.76258,                0.46077,                0.41187,                0.85176,               0.008911,               0.008911,               0.008911
                    112,                0.55398,                0.54797,                 0.8855,                0.81392,                0.98478,                0.86114,                0.78042,                0.46403,                0.40598,                0.85305,              0.0089011,              0.0089011,              0.0089011
                    113,                0.54319,                0.53519,                0.88206,                0.81743,                0.99034,                0.87813,                0.80982,                0.44225,                0.41295,                0.84469,              0.0088912,              0.0088912,              0.0088912
                    114,                0.54934,                0.55128,                0.88148,                0.81411,                0.98878,                 0.8729,                0.78953,                0.46117,                0.41149,                0.84967,              0.0088813,              0.0088813,              0.0088813
                    115,                0.55527,                0.56595,                0.88826,                0.81989,                0.99324,                0.85383,                0.77929,                0.45971,                0.40389,                0.84907,              0.0088714,              0.0088714,              0.0088714
                    116,                0.55231,                0.54577,                 0.8915,                0.81516,                0.99241,                0.85152,                  0.781,                0.45729,                0.40121,                0.84697,              0.0088615,              0.0088615,              0.0088615
                    117,                0.55526,                0.54544,                0.88714,                 0.8127,                0.99023,                0.85464,                0.78703,                0.44217,                0.40429,                0.84487,              0.0088516,              0.0088516,              0.0088516
                    118,                0.53516,                0.53637,                0.88124,                0.81122,                0.98993,                0.85425,                0.77642,                0.45762,                0.39999,                0.84868,              0.0088417,              0.0088417,              0.0088417
                    119,                0.55335,                0.57533,                0.89297,                0.81597,                0.98939,                0.86618,                0.79081,                0.45161,                0.39621,                0.84633,              0.0088318,              0.0088318,              0.0088318
                    120,                0.54365,                0.56581,                0.89188,                0.81886,                0.99324,                0.85339,                0.77621,                0.45439,                0.39687,                0.84739,              0.0088219,              0.0088219,              0.0088219
                    121,                0.55348,                0.53347,                 0.8877,                0.81956,                0.98722,                0.86453,                 0.7904,                0.44795,                 0.3941,                0.84508,               0.008812,               0.008812,               0.008812
                    122,                0.53709,                0.54167,                0.88255,                0.81803,                0.98993,                0.85055,                0.77745,                0.44636,                0.40442,                0.84681,              0.0088021,              0.0088021,              0.0088021
                    123,                0.53305,                 0.5346,                0.87773,                0.81918,                0.99324,                 0.8748,                0.80038,                0.44652,                0.40294,                0.84484,              0.0087922,              0.0087922,              0.0087922
                    124,                0.53212,                0.53191,                0.87932,                0.81025,                0.98569,                0.87337,                0.79536,                0.45041,                0.41958,                0.84851,              0.0087823,              0.0087823,              0.0087823
